part_type,part_id,manufacturer,production_date,faulty,engine_id,engine_type,OEM_type
T03,3-201-2012-5,201,2008-11-07,0,K1BE1-101-1011-114,K1BE1,1
T04,4-204-2043-185,204,2008-11-07,0,K1BE1-101-1011-114,K1BE1,1
T01,1-201-2011-42,201,2008-11-07,1,K1BE1-101-1011-115,K1BE1,1
T03,3-201-2012-12,201,2008-11-07,0,K1BE1-101-1011-115,K1BE1,1
T04,4-204-2043-193,204,2008-11-07,0,K1BE1-101-1011-115,K1BE1,1
T03,3-201-2012-13,201,2008-11-07,0,K1BE1-101-1011-116,K1BE1,1
T04,4-204-2043-201,204,2008-11-07,0,K1BE1-101-1011-116,K1BE1,1
T02,2-201-2011-185,201,2008-11-07,0,K1BE1-101-1011-117,K1BE1,1
T03,3-201-2012-18,201,2008-11-07,0,K1BE1-101-1011-117,K1BE1,1
T04,4-204-2043-204,204,2008-11-07,0,K1BE1-101-1011-117,K1BE1,1
T01,1-201-2011-417,201,2008-11-07,1,K1BE1-101-1011-118,K1BE1,1
T03,3-201-2012-20,201,2008-11-07,0,K1BE1-101-1011-118,K1BE1,1
T04,4-204-2043-206,204,2008-11-07,0,K1BE1-101-1011-118,K1BE1,1
T03,3-202-2022-8,202,2008-11-07,0,K1BE1-101-1011-12,K1BE1,1
T04,4-202-2023-18,202,2008-11-07,0,K1BE1-101-1011-12,K1BE1,1
T01,1-201-2011-825,201,2008-11-08,0,K1BE1-101-1011-120,K1BE1,1
T03,3-201-2012-24,201,2008-11-07,0,K1BE1-101-1011-120,K1BE1,1
T04,4-204-2043-210,204,2008-11-07,1,K1BE1-101-1011-120,K1BE1,1
T02,2-201-2011-73,201,2008-11-07,0,K1BE1-101-1011-121,K1BE1,1
T03,3-201-2012-25,201,2008-11-07,0,K1BE1-101-1011-121,K1BE1,1
T04,4-204-2043-213,204,2008-11-07,0,K1BE1-101-1011-121,K1BE1,1
T02,2-201-2011-319,201,2008-11-07,0,K1BE1-101-1011-122,K1BE1,1
T03,3-201-2012-27,201,2008-11-07,0,K1BE1-101-1011-122,K1BE1,1
T04,4-204-2043-214,204,2008-11-07,0,K1BE1-101-1011-122,K1BE1,1
T03,3-202-2023-835,202,2008-11-09,0,K1BE1-101-1011-123,K1BE1,1
T04,4-204-2043-478,204,2008-11-09,1,K1BE1-101-1011-123,K1BE1,1
T01,1-201-2011-723,201,2008-11-08,0,K1BE1-101-1011-124,K1BE1,1
T03,3-202-2023-878,202,2008-11-09,0,K1BE1-101-1011-124,K1BE1,1
T04,4-204-2043-482,204,2008-11-09,0,K1BE1-101-1011-124,K1BE1,1
T01,1-201-2011-519,201,2008-11-08,0,K1BE1-101-1011-125,K1BE1,1
T03,3-201-2011-23,201,2008-11-09,1,K1BE1-101-1011-125,K1BE1,1
T04,4-204-2043-499,204,2008-11-09,0,K1BE1-101-1011-125,K1BE1,1
T01,1-201-2011-796,201,2008-11-08,0,K1BE1-101-1011-126,K1BE1,1
T03,3-202-2022-213548,202,2008-11-08,0,K1BE1-101-1011-126,K1BE1,1
T04,4-204-2043-553,204,2008-11-09,1,K1BE1-101-1011-126,K1BE1,1
T03,3-201-2011-23417,201,2008-11-08,0,K1BE1-101-1011-127,K1BE1,1
T04,4-204-2043-580,204,2008-11-09,0,K1BE1-101-1011-127,K1BE1,1
T02,2-201-2011-31,201,2008-11-07,0,K1BE1-101-1011-128,K1BE1,1
T03,3-202-2022-3,202,2008-11-07,0,K1BE1-101-1011-128,K1BE1,1
T04,4-204-2043-588,204,2008-11-09,0,K1BE1-101-1011-128,K1BE1,1
T01,1-201-2011-166,201,2008-11-07,1,K1BE1-101-1011-129,K1BE1,1
T03,3-202-2022-4,202,2008-11-07,0,K1BE1-101-1011-129,K1BE1,1
T04,4-204-2043-639,204,2008-11-09,0,K1BE1-101-1011-129,K1BE1,1
T01,1-201-2011-343,201,2008-11-07,1,K1BE1-101-1011-13,K1BE1,1
T02,2-201-2011-242,201,2008-11-07,0,K1BE1-101-1011-13,K1BE1,1
T03,3-202-2022-10,202,2008-11-07,0,K1BE1-101-1011-13,K1BE1,1
T04,4-202-2023-21,202,2008-11-07,0,K1BE1-101-1011-13,K1BE1,1
T03,3-202-2022-12,202,2008-11-07,0,K1BE1-101-1011-131,K1BE1,1
T04,4-204-2042-140510,204,2008-11-07,0,K1BE1-101-1011-131,K1BE1,1
T01,1-201-2011-1185,201,2008-11-09,0,K1BE1-101-1011-132,K1BE1,1
T03,3-202-2022-13,202,2008-11-07,0,K1BE1-101-1011-132,K1BE1,1
T04,4-204-2042-140527,204,2008-11-07,0,K1BE1-101-1011-132,K1BE1,1
T02,2-201-2011-718,201,2008-11-09,0,K1BE1-101-1011-133,K1BE1,1
T03,3-202-2022-17,202,2008-11-07,0,K1BE1-101-1011-133,K1BE1,1
T04,4-202-2023-5,202,2008-11-07,0,K1BE1-101-1011-133,K1BE1,1
T01,1-201-2011-741,201,2008-11-08,0,K1BE1-101-1011-134,K1BE1,1
T03,3-202-2022-19,202,2008-11-07,0,K1BE1-101-1011-134,K1BE1,1
T04,4-202-2023-6,202,2008-11-07,0,K1BE1-101-1011-134,K1BE1,1
T01,1-201-2011-672,201,2008-11-08,1,K1BE1-101-1011-135,K1BE1,1
T03,3-202-2022-23,202,2008-11-07,0,K1BE1-101-1011-135,K1BE1,1
T04,4-202-2023-13,202,2008-11-07,0,K1BE1-101-1011-135,K1BE1,1
T01,1-201-2011-729,201,2008-11-08,0,K1BE1-101-1011-136,K1BE1,1
T02,2-201-2011-885,201,2008-11-09,0,K1BE1-101-1011-136,K1BE1,1
T03,3-202-2022-34,202,2008-11-07,0,K1BE1-101-1011-136,K1BE1,1
T04,4-202-2023-14,202,2008-11-07,0,K1BE1-101-1011-136,K1BE1,1
T03,3-202-2022-40,202,2008-11-07,0,K1BE1-101-1011-137,K1BE1,1
T04,4-202-2023-17,202,2008-11-07,0,K1BE1-101-1011-137,K1BE1,1
T01,1-201-2011-138,201,2008-11-07,0,K1BE1-101-1011-14,K1BE1,1
T03,3-202-2022-14,202,2008-11-07,0,K1BE1-101-1011-14,K1BE1,1
T04,4-202-2023-23,202,2008-11-07,0,K1BE1-101-1011-14,K1BE1,1
T01,1-201-2011-713,201,2008-11-08,1,K1BE1-101-1011-140,K1BE1,1
T02,2-201-2011-357,201,2008-11-08,1,K1BE1-101-1011-140,K1BE1,1
T03,3-202-2022-63,202,2008-11-07,0,K1BE1-101-1011-141,K1BE1,1
T04,4-202-2023-63,202,2008-11-07,0,K1BE1-101-1011-141,K1BE1,1
T03,3-202-2022-67,202,2008-11-07,0,K1BE1-101-1011-142,K1BE1,1
T04,4-202-2023-66,202,2008-11-07,0,K1BE1-101-1011-142,K1BE1,1
T02,2-201-2011-589,201,2008-11-08,0,K1BE1-101-1011-143,K1BE1,1
T02,2-201-2011-117,201,2008-11-07,0,K1BE1-101-1011-144,K1BE1,1
T03,3-202-2023-4,202,2008-11-07,0,K1BE1-101-1011-144,K1BE1,1
T04,4-202-2023-71,202,2008-11-07,0,K1BE1-101-1011-144,K1BE1,1
T03,3-202-2023-13,202,2008-11-07,0,K1BE1-101-1011-145,K1BE1,1
T04,4-202-2023-84,202,2008-11-07,0,K1BE1-101-1011-145,K1BE1,1
T01,1-201-2011-733,201,2008-11-08,1,K1BE1-101-1011-146,K1BE1,1
T02,2-201-2011-249,201,2008-11-07,0,K1BE1-101-1011-146,K1BE1,1
T03,3-202-2023-15,202,2008-11-07,0,K1BE1-101-1011-146,K1BE1,1
T04,4-202-2023-87,202,2008-11-07,1,K1BE1-101-1011-146,K1BE1,1
T01,1-201-2011-857,201,2008-11-08,1,K1BE1-101-1011-147,K1BE1,1
T03,3-202-2023-19,202,2008-11-07,0,K1BE1-101-1011-147,K1BE1,1
T04,4-202-2023-88,202,2008-11-07,0,K1BE1-101-1011-147,K1BE1,1
T02,2-201-2011-419,201,2008-11-08,0,K1BE1-101-1011-148,K1BE1,1
T03,3-202-2023-32,202,2008-11-07,0,K1BE1-101-1011-148,K1BE1,1
T04,4-202-2023-95,202,2008-11-07,0,K1BE1-101-1011-148,K1BE1,1
T01,1-201-2011-570,201,2008-11-08,0,K1BE1-101-1011-149,K1BE1,1
T02,2-201-2011-858,201,2008-11-09,0,K1BE1-101-1011-149,K1BE1,1
T03,3-202-2023-43,202,2008-11-07,0,K1BE1-101-1011-149,K1BE1,1
T04,4-202-2023-97,202,2008-11-07,0,K1BE1-101-1011-149,K1BE1,1
T02,2-201-2011-174,201,2008-11-07,0,K1BE1-101-1011-15,K1BE1,1
T03,3-202-2022-16,202,2008-11-07,0,K1BE1-101-1011-15,K1BE1,1
T04,4-202-2023-24,202,2008-11-07,1,K1BE1-101-1011-15,K1BE1,1
T01,1-201-2011-66,201,2008-11-07,0,K1BE1-101-1011-150,K1BE1,1
T03,3-202-2023-48,202,2008-11-07,0,K1BE1-101-1011-150,K1BE1,1
T04,4-202-2023-99,202,2008-11-07,0,K1BE1-101-1011-150,K1BE1,1
T01,1-201-2011-1179,201,2008-11-09,0,K1BE1-101-1011-151,K1BE1,1
T02,2-201-2011-1301,201,2008-11-10,0,K1BE1-101-1011-151,K1BE1,1
T03,3-202-2023-50,202,2008-11-07,0,K1BE1-101-1011-151,K1BE1,1
T04,4-202-2023-105,202,2008-11-07,0,K1BE1-101-1011-151,K1BE1,1
T01,1-201-2011-753,201,2008-11-08,0,K1BE1-101-1011-152,K1BE1,1
T02,2-201-2011-647,201,2008-11-08,0,K1BE1-101-1011-152,K1BE1,1
T03,3-202-2023-72,202,2008-11-07,0,K1BE1-101-1011-152,K1BE1,1
T04,4-202-2023-113,202,2008-11-07,0,K1BE1-101-1011-152,K1BE1,1
T01,1-201-2011-720,201,2008-11-08,0,K1BE1-101-1011-153,K1BE1,1
T03,3-202-2023-73,202,2008-11-07,0,K1BE1-101-1011-153,K1BE1,1
T04,4-202-2023-117,202,2008-11-07,0,K1BE1-101-1011-153,K1BE1,1
T01,1-201-2011-430,201,2008-11-07,0,K1BE1-101-1011-154,K1BE1,1
T03,3-202-2023-80,202,2008-11-07,0,K1BE1-101-1011-154,K1BE1,1
T04,4-202-2023-118,202,2008-11-07,0,K1BE1-101-1011-154,K1BE1,1
T01,1-201-2011-110,201,2008-11-07,0,K1BE1-101-1011-155,K1BE1,1
T02,2-201-2011-1271,201,2008-11-10,0,K1BE1-101-1011-155,K1BE1,1
T01,1-201-2011-898,201,2008-11-09,0,K1BE1-101-1011-156,K1BE1,1
T03,3-202-2023-84,202,2008-11-07,0,K1BE1-101-1011-156,K1BE1,1
T04,4-204-2042-6,204,2008-11-07,0,K1BE1-101-1011-156,K1BE1,1
T01,1-201-2011-202,201,2008-11-07,0,K1BE1-101-1011-157,K1BE1,1
T03,3-202-2023-86,202,2008-11-07,0,K1BE1-101-1011-157,K1BE1,1
T04,4-204-2042-9,204,2008-11-07,0,K1BE1-101-1011-157,K1BE1,1
T02,2-201-2011-731,201,2008-11-09,0,K1BE1-101-1011-158,K1BE1,1
T01,1-201-2011-884,201,2008-11-09,0,K1BE1-101-1011-159,K1BE1,1
T02,2-201-2011-597,201,2008-11-08,0,K1BE1-101-1011-159,K1BE1,1
T03,3-202-2023-88,202,2008-11-07,0,K1BE1-101-1011-159,K1BE1,1
T04,4-204-2042-21,204,2008-11-07,0,K1BE1-101-1011-159,K1BE1,1
T03,3-202-2022-25,202,2008-11-07,0,K1BE1-101-1011-16,K1BE1,1
T04,4-202-2023-27,202,2008-11-07,0,K1BE1-101-1011-16,K1BE1,1
T01,1-201-2011-1020,201,2008-11-09,0,K1BE1-101-1011-160,K1BE1,1
T03,3-202-2023-91,202,2008-11-07,0,K1BE1-101-1011-160,K1BE1,1
T04,4-204-2042-28,204,2008-11-07,0,K1BE1-101-1011-160,K1BE1,1
T01,1-201-2011-891,201,2008-11-09,0,K1BE1-101-1011-161,K1BE1,1
T03,3-202-2023-99,202,2008-11-07,0,K1BE1-101-1011-161,K1BE1,1
T04,4-204-2042-32,204,2008-11-07,0,K1BE1-101-1011-161,K1BE1,1
T03,3-202-2023-104,202,2008-11-07,0,K1BE1-101-1011-162,K1BE1,1
T04,4-204-2042-36,204,2008-11-07,0,K1BE1-101-1011-162,K1BE1,1
T03,3-202-2023-115,202,2008-11-07,0,K1BE1-101-1011-163,K1BE1,1
T04,4-204-2042-41,204,2008-11-07,0,K1BE1-101-1011-163,K1BE1,1
T01,1-201-2011-60,201,2008-11-07,0,K1BE1-101-1011-164,K1BE1,1
T02,2-201-2011-869,201,2008-11-09,0,K1BE1-101-1011-164,K1BE1,1
T03,3-202-2023-121,202,2008-11-07,0,K1BE1-101-1011-164,K1BE1,1
T04,4-204-2043-2,204,2008-11-07,0,K1BE1-101-1011-164,K1BE1,1
T03,3-202-2023-124,202,2008-11-07,0,K1BE1-101-1011-165,K1BE1,1
T04,4-204-2043-4,204,2008-11-07,0,K1BE1-101-1011-165,K1BE1,1
T01,1-201-2011-811,201,2008-11-08,1,K1BE1-101-1011-166,K1BE1,1
T03,3-202-2023-125,202,2008-11-07,0,K1BE1-101-1011-166,K1BE1,1
T04,4-204-2043-6,204,2008-11-07,0,K1BE1-101-1011-166,K1BE1,1
T01,1-201-2011-532,201,2008-11-08,0,K1BE1-101-1011-167,K1BE1,1
T02,2-201-2011-922,201,2008-11-09,0,K1BE1-101-1011-167,K1BE1,1
T03,3-202-2023-137,202,2008-11-07,0,K1BE1-101-1011-167,K1BE1,1
T04,4-204-2043-11,204,2008-11-07,0,K1BE1-101-1011-167,K1BE1,1
T02,2-201-2011-284,201,2008-11-07,0,K1BE1-101-1011-168,K1BE1,1
T03,3-202-2023-138,202,2008-11-07,0,K1BE1-101-1011-168,K1BE1,1
T04,4-204-2043-12,204,2008-11-07,0,K1BE1-101-1011-168,K1BE1,1
T01,1-201-2011-593,201,2008-11-08,0,K1BE1-101-1011-169,K1BE1,1
T03,3-202-2023-154,202,2008-11-07,0,K1BE1-101-1011-169,K1BE1,1
T04,4-204-2043-19,204,2008-11-07,0,K1BE1-101-1011-169,K1BE1,1
T01,1-201-2011-62,201,2008-11-07,0,K1BE1-101-1011-17,K1BE1,1
T03,3-202-2022-27,202,2008-11-07,0,K1BE1-101-1011-17,K1BE1,1
T04,4-202-2023-28,202,2008-11-07,0,K1BE1-101-1011-17,K1BE1,1
T02,2-201-2011-537,201,2008-11-08,0,K1BE1-101-1011-170,K1BE1,1
T03,3-202-2023-160,202,2008-11-07,0,K1BE1-101-1011-170,K1BE1,1
T04,4-204-2043-20,204,2008-11-07,0,K1BE1-101-1011-170,K1BE1,1
T03,3-202-2023-163,202,2008-11-07,0,K1BE1-101-1011-171,K1BE1,1
T04,4-204-2043-23,204,2008-11-07,1,K1BE1-101-1011-171,K1BE1,1
T01,1-201-2011-774,201,2008-11-08,0,K1BE1-101-1011-173,K1BE1,1
T03,3-202-2023-170,202,2008-11-07,0,K1BE1-101-1011-173,K1BE1,1
T04,4-204-2043-31,204,2008-11-07,0,K1BE1-101-1011-173,K1BE1,1
T03,3-202-2023-183,202,2008-11-07,0,K1BE1-101-1011-174,K1BE1,1
T04,4-204-2043-34,204,2008-11-07,0,K1BE1-101-1011-174,K1BE1,1
T02,2-201-2011-119,201,2008-11-07,1,K1BE1-101-1011-175,K1BE1,1
T03,3-202-2023-185,202,2008-11-07,0,K1BE1-101-1011-175,K1BE1,1
T04,4-204-2043-36,204,2008-11-07,0,K1BE1-101-1011-175,K1BE1,1
T03,3-202-2023-189,202,2008-11-07,0,K1BE1-101-1011-176,K1BE1,1
T04,4-204-2043-41,204,2008-11-07,0,K1BE1-101-1011-176,K1BE1,1
T02,2-201-2011-741,201,2008-11-09,0,K1BE1-101-1011-178,K1BE1,1
T03,3-202-2023-197,202,2008-11-07,0,K1BE1-101-1011-178,K1BE1,1
T04,4-204-2043-45,204,2008-11-07,0,K1BE1-101-1011-178,K1BE1,1
T03,3-202-2023-200,202,2008-11-07,0,K1BE1-101-1011-179,K1BE1,1
T04,4-204-2043-64,204,2008-11-07,0,K1BE1-101-1011-179,K1BE1,1
T01,1-201-2011-25,201,2008-11-07,0,K1BE1-101-1011-18,K1BE1,1
T02,2-201-2011-46,201,2008-11-07,0,K1BE1-101-1011-18,K1BE1,1
T03,3-202-2022-29,202,2008-11-07,0,K1BE1-101-1011-18,K1BE1,1
T04,4-202-2023-33,202,2008-11-07,0,K1BE1-101-1011-18,K1BE1,1
T01,1-201-2011-801,201,2008-11-08,0,K1BE1-101-1011-180,K1BE1,1
T02,2-201-2011-230,201,2008-11-07,0,K1BE1-101-1011-181,K1BE1,1
T03,3-202-2023-206,202,2008-11-07,1,K1BE1-101-1011-181,K1BE1,1
T04,4-204-2043-70,204,2008-11-07,0,K1BE1-101-1011-181,K1BE1,1
T03,3-202-2023-218,202,2008-11-07,0,K1BE1-101-1011-182,K1BE1,1
T04,4-204-2043-73,204,2008-11-07,0,K1BE1-101-1011-182,K1BE1,1
T02,2-201-2011-291,201,2008-11-07,0,K1BE1-101-1011-183,K1BE1,1
T03,3-202-2023-219,202,2008-11-07,0,K1BE1-101-1011-183,K1BE1,1
T04,4-204-2043-74,204,2008-11-07,0,K1BE1-101-1011-183,K1BE1,1
T02,2-201-2011-607,201,2008-11-08,0,K1BE1-101-1011-184,K1BE1,1
T03,3-202-2023-223,202,2008-11-07,0,K1BE1-101-1011-184,K1BE1,1
T04,4-204-2043-78,204,2008-11-07,0,K1BE1-101-1011-184,K1BE1,1
T03,3-202-2023-228,202,2008-11-07,0,K1BE1-101-1011-185,K1BE1,1
T04,4-204-2043-89,204,2008-11-07,0,K1BE1-101-1011-185,K1BE1,1
T03,3-202-2023-229,202,2008-11-07,0,K1BE1-101-1011-186,K1BE1,1
T04,4-204-2043-94,204,2008-11-07,0,K1BE1-101-1011-186,K1BE1,1
T02,2-201-2011-520,201,2008-11-08,0,K1BE1-101-1011-187,K1BE1,1
T03,3-202-2023-233,202,2008-11-07,1,K1BE1-101-1011-187,K1BE1,1
T04,4-204-2043-97,204,2008-11-07,0,K1BE1-101-1011-187,K1BE1,1
T03,3-202-2023-235,202,2008-11-07,0,K1BE1-101-1011-188,K1BE1,1
T04,4-204-2043-99,204,2008-11-07,0,K1BE1-101-1011-188,K1BE1,1
T01,1-201-2011-569,201,2008-11-08,0,K1BE1-101-1011-189,K1BE1,1
T03,3-202-2023-236,202,2008-11-07,0,K1BE1-101-1011-189,K1BE1,1
T04,4-204-2043-102,204,2008-11-07,0,K1BE1-101-1011-189,K1BE1,1
T03,3-202-2022-30,202,2008-11-07,0,K1BE1-101-1011-19,K1BE1,1
T04,4-202-2023-35,202,2008-11-07,0,K1BE1-101-1011-19,K1BE1,1
T02,2-201-2011-648,201,2008-11-08,0,K1BE1-101-1011-190,K1BE1,1
T03,3-202-2023-241,202,2008-11-07,0,K1BE1-101-1011-190,K1BE1,1
T04,4-204-2043-110,204,2008-11-07,0,K1BE1-101-1011-190,K1BE1,1
T03,3-202-2023-246,202,2008-11-07,0,K1BE1-101-1011-192,K1BE1,1
T04,4-204-2043-115,204,2008-11-07,0,K1BE1-101-1011-192,K1BE1,1
T01,1-201-2011-783,201,2008-11-08,0,K1BE1-101-1011-193,K1BE1,1
T02,2-201-2011-85,201,2008-11-07,0,K1BE1-101-1011-193,K1BE1,1
T03,3-202-2023-255,202,2008-11-07,0,K1BE1-101-1011-194,K1BE1,1
T04,4-204-2043-122,204,2008-11-07,0,K1BE1-101-1011-194,K1BE1,1
T03,3-202-2023-257,202,2008-11-07,0,K1BE1-101-1011-195,K1BE1,1
T04,4-204-2043-126,204,2008-11-07,0,K1BE1-101-1011-195,K1BE1,1
T03,3-202-2023-270,202,2008-11-07,0,K1BE1-101-1011-196,K1BE1,1
T04,4-204-2043-131,204,2008-11-07,0,K1BE1-101-1011-196,K1BE1,1
T03,3-202-2023-273,202,2008-11-07,0,K1BE1-101-1011-197,K1BE1,1
T04,4-204-2043-144,204,2008-11-07,0,K1BE1-101-1011-197,K1BE1,1
T03,3-202-2023-284,202,2008-11-07,0,K1BE1-101-1011-199,K1BE1,1
T04,4-204-2043-149,204,2008-11-07,0,K1BE1-101-1011-199,K1BE1,1
T01,1-201-2011-429,201,2008-11-07,0,K1BE1-101-1011-2,K1BE1,1
T02,2-201-2011-239,201,2008-11-07,1,K1BE1-101-1011-2,K1BE1,1
T03,3-202-2023-16,202,2008-11-07,0,K1BE1-101-1011-2,K1BE1,1
T04,4-202-2023-51,202,2008-11-07,0,K1BE1-101-1011-2,K1BE1,1
T01,1-201-2011-198,201,2008-11-07,0,K1BE1-101-1011-20,K1BE1,1
T02,2-201-2011-114,201,2008-11-07,0,K1BE1-101-1011-20,K1BE1,1
T03,3-202-2022-32,202,2008-11-07,0,K1BE1-101-1011-20,K1BE1,1
T04,4-202-2023-36,202,2008-11-07,0,K1BE1-101-1011-20,K1BE1,1
T02,2-201-2011-276,201,2008-11-07,0,K1BE1-101-1011-200,K1BE1,1
T03,3-202-2023-290,202,2008-11-07,0,K1BE1-101-1011-200,K1BE1,1
T04,4-204-2043-151,204,2008-11-07,0,K1BE1-101-1011-200,K1BE1,1
T01,1-201-2011-1260,201,2008-11-09,1,K1BE1-101-1011-201,K1BE1,1
T02,2-201-2011-808,201,2008-11-09,0,K1BE1-101-1011-201,K1BE1,1
T03,3-202-2023-292,202,2008-11-07,0,K1BE1-101-1011-201,K1BE1,1
T04,4-204-2043-153,204,2008-11-07,0,K1BE1-101-1011-201,K1BE1,1
T02,2-201-2011-2,201,2008-11-07,0,K1BE1-101-1011-202,K1BE1,1
T03,3-201-2012-1,201,2008-11-07,0,K1BE1-101-1011-202,K1BE1,1
T04,4-204-2043-157,204,2008-11-07,0,K1BE1-101-1011-202,K1BE1,1
T03,3-201-2012-3,201,2008-11-07,0,K1BE1-101-1011-203,K1BE1,1
T04,4-204-2043-165,204,2008-11-07,0,K1BE1-101-1011-203,K1BE1,1
T03,3-201-2012-4,201,2008-11-07,0,K1BE1-101-1011-204,K1BE1,1
T04,4-204-2043-167,204,2008-11-07,0,K1BE1-101-1011-204,K1BE1,1
T03,3-201-2012-7,201,2008-11-07,0,K1BE1-101-1011-205,K1BE1,1
T04,4-204-2043-170,204,2008-11-07,0,K1BE1-101-1011-205,K1BE1,1
T02,2-201-2011-465,201,2008-11-08,1,K1BE1-101-1011-206,K1BE1,1
T03,3-201-2012-10,201,2008-11-07,0,K1BE1-101-1011-206,K1BE1,1
T04,4-204-2043-174,204,2008-11-07,0,K1BE1-101-1011-206,K1BE1,1
T03,3-201-2012-16,201,2008-11-07,0,K1BE1-101-1011-207,K1BE1,1
T04,4-204-2043-175,204,2008-11-07,1,K1BE1-101-1011-207,K1BE1,1
T03,3-201-2012-29,201,2008-11-07,0,K1BE1-101-1011-208,K1BE1,1
T04,4-204-2043-179,204,2008-11-07,0,K1BE1-101-1011-208,K1BE1,1
T01,1-201-2011-5,201,2008-11-07,1,K1BE1-101-1011-209,K1BE1,1
T03,3-202-2022-75,202,2008-11-08,0,K1BE1-101-1011-209,K1BE1,1
T04,4-204-2043-181,204,2008-11-07,0,K1BE1-101-1011-209,K1BE1,1
T02,2-201-2011-97,201,2008-11-07,1,K1BE1-101-1011-21,K1BE1,1
T03,3-202-2022-33,202,2008-11-07,0,K1BE1-101-1011-21,K1BE1,1
T04,4-202-2023-38,202,2008-11-07,0,K1BE1-101-1011-21,K1BE1,1
T01,1-201-2011-883,201,2008-11-09,1,K1BE1-101-1011-210,K1BE1,1
T03,3-202-2022-80,202,2008-11-08,0,K1BE1-101-1011-210,K1BE1,1
T04,4-204-2043-187,204,2008-11-07,0,K1BE1-101-1011-210,K1BE1,1
T03,3-202-2022-83,202,2008-11-08,0,K1BE1-101-1011-211,K1BE1,1
